wav_file1,wav_file2,freq1,freq2,abs_dist,dist_semi,direction
220.0-0.wav,220.0-0.wav,220.0,220.0,0,0,0
220.0-0.wav,220.0-0.wav,220.0,220.0,0,0,0
220.0-0.wav,208-0.wav,220.0,208,100,-100,1
208-0.wav,220.0-0.wav,208,220.0,100,-100,2
220.0-0.wav,211.0-3.wav,220.0,211.0,75,-75,1
211.0-3.wav,220.0-0.wav,211.0,220.0,75,-75,2
220.0-0.wav,214.0-2.wav,220.0,214.0,50,-50,1
214.0-2.wav,220.0-0.wav,214.0,220.0,50,-50,2
220.0-0.wav,217.0-1.wav,220.0,217.0,25,-25,1
217.0-1.wav,220.0-0.wav,217.0,220.0,25,-25,2
220.0-0.wav,220.0-0.wav,220.0,220.0,0,0,2
220.0-0.wav,220.0-0.wav,220.0,220.0,0,0,2
220.0-0.wav,223.25-3.wav,220.0,223.25,25,25,2
223.25-3.wav,220.0-0.wav,223.25,220.0,25,25,1
220.0-0.wav,226.5-2.wav,220.0,226.5,50,50,2
226.5-2.wav,220.0-0.wav,226.5,220.0,50,50,1
220.0-0.wav,229.75-1.wav,220.0,229.75,75,75,2
229.75-1.wav,220.0-0.wav,229.75,220.0,75,75,1
233.0-0.wav,233.0-0.wav,233.0,233.0,0,0,0
233.0-0.wav,233.0-0.wav,233.0,233.0,0,0,0
233.0-0.wav,220.0-0.wav,233.0,220.0,100,-100,1
220.0-0.wav,233.0-0.wav,220.0,233.0,100,-100,2
233.0-0.wav,223.25-3.wav,233.0,223.25,75,-75,1
223.25-3.wav,233.0-0.wav,223.25,233.0,75,-75,2
233.0-0.wav,226.5-2.wav,233.0,226.5,50,-50,1
226.5-2.wav,233.0-0.wav,226.5,233.0,50,-50,2
233.0-0.wav,229.75-1.wav,233.0,229.75,25,-25,1
229.75-1.wav,233.0-0.wav,229.75,233.0,25,-25,2
233.0-0.wav,233.0-0.wav,233.0,233.0,0,0,2
233.0-0.wav,233.0-0.wav,233.0,233.0,0,0,2
233.0-0.wav,236.5-3.wav,233.0,236.5,25,25,2
236.5-3.wav,233.0-0.wav,236.5,233.0,25,25,1
233.0-0.wav,240.0-2.wav,233.0,240.0,50,50,2
240.0-2.wav,233.0-0.wav,240.0,233.0,50,50,1
233.0-0.wav,243.5-1.wav,233.0,243.5,75,75,2
243.5-1.wav,233.0-0.wav,243.5,233.0,75,75,1
247.0-0.wav,247.0-0.wav,247.0,247.0,0,0,0
247.0-0.wav,247.0-0.wav,247.0,247.0,0,0,0
247.0-0.wav,233.0-0.wav,247.0,233.0,100,-100,1
233.0-0.wav,247.0-0.wav,233.0,247.0,100,-100,2
247.0-0.wav,236.5-3.wav,247.0,236.5,75,-75,1
236.5-3.wav,247.0-0.wav,236.5,247.0,75,-75,2
247.0-0.wav,240.0-2.wav,247.0,240.0,50,-50,1
240.0-2.wav,247.0-0.wav,240.0,247.0,50,-50,2
247.0-0.wav,243.5-1.wav,247.0,243.5,25,-25,1
